holiday_date,holiday_name
2020-01-01,Tahun Baru Masehi
2020-01-25,Tahun Baru Imlek 2571
2020-03-22,Isra Mi'raj Nabi Muhammad SAW 1441H
2020-03-25,Hari Raya Nyepi Tahun Baru Saka 1942
2020-04-10,Wafat Isa Al Masih
2020-05-01,Hari Buruh Internasional
2020-05-07,Kenaikan Isa Al Masih
2020-05-21,Hari Raya Waisak 2564
2020-05-22,Cuti Bersama Idul Fitri
2020-05-24,Hari Raya Idul Fitri 1441H Hari Ke-1
2020-05-25,Hari Raya Idul Fitri 1441H Hari Ke-2
2020-05-26,Cuti Bersama Idul Fitri
2020-05-27,Cuti Bersama Idul Fitri
2020-05-28,Cuti Bersama Idul Fitri
2020-05-29,Cuti Bersama Idul Fitri
2020-06-01,Hari Lahir Pancasila
2020-07-31,Hari Raya Idul Adha 1441H
2020-08-17,Hari Kemerdekaan Republik Indonesia
2020-08-20,Tahun Baru Islam 1442H
2020-10-29,Maulid Nabi Muhammad SAW 1442H
2020-12-24,Cuti Bersama Natal
2020-12-25,Hari Raya Natal
2021-01-01,Tahun Baru Masehi
2021-02-12,Tahun Baru Imlek 2572
2021-03-11,Isra Mi'raj Nabi Muhammad SAW 1442H
2021-03-14,Hari Raya Nyepi Tahun Baru Saka 1943
2021-04-02,Wafat Isa Al Masih
2021-05-01,Hari Buruh Internasional
2021-05-12,Cuti Bersama Idul Fitri
2021-05-13,Hari Raya Idul Fitri 1442H Hari Ke-1
2021-05-13,Kenaikan Isa Al Masih
2021-05-14,Hari Raya Idul Fitri 1442H Hari Ke-2
2021-05-26,Hari Raya Waisak 2565
2021-06-01,Hari Lahir Pancasila
2021-07-20,Hari Raya Idul Adha 1442H
2021-08-11,Tahun Baru Islam 1443H
2021-08-17,Hari Kemerdekaan Republik Indonesia
2021-10-19,Maulid Nabi Muhammad SAW 1443H
2021-12-24,Cuti Bersama Natal
2021-12-25,Hari Raya Natal
2022-01-01,Tahun Baru Masehi
2022-02-01,Tahun Baru Imlek 2573
2022-02-28,Isra Mi'raj Nabi Muhammad SAW 1443H
2022-03-03,Hari Raya Nyepi Tahun Baru Saka 1944
2022-04-15,Wafat Isa Al Masih
2022-04-29,Cuti Bersama Idul Fitri
2022-05-01,Hari Buruh Internasional
2022-05-02,Hari Raya Idul Fitri 1443H Hari Ke-1
2022-05-03,Hari Raya Idul Fitri 1443H Hari Ke-2
2022-05-04,Cuti Bersama Idul Fitri
2022-05-05,Cuti Bersama Idul Fitri
2022-05-06,Cuti Bersama Idul Fitri
2022-05-16,Hari Raya Waisak 2566
2022-05-26,Kenaikan Isa Al Masih
2022-06-01,Hari Lahir Pancasila
2022-07-10,Hari Raya Idul Adha 1443H
2022-07-30,Tahun Baru Islam 1444H
2022-08-17,Hari Kemerdekaan Republik Indonesia
2022-10-08,Maulid Nabi Muhammad SAW 1444H
2022-12-25,Hari Raya Natal
2022-12-26,Cuti Bersama Natal
2023-01-01,Tahun Baru Masehi
2023-01-22,Tahun Baru Imlek 2574
2023-01-23,Cuti Bersama Tahun Baru Imlek
2023-02-18,Isra Mi'raj Nabi Muhammad SAW 1444H
2023-03-22,Hari Raya Nyepi Tahun Baru Saka 1945
2023-03-23,Cuti Bersama Nyepi
2023-04-07,Wafat Isa Al Masih
2023-04-19,Cuti Bersama Idul Fitri
2023-04-20,Cuti Bersama Idul Fitri
2023-04-21,Hari Raya Idul Fitri 1444H Hari Ke-1
2023-04-22,Hari Raya Idul Fitri 1444H Hari Ke-2
2023-04-24,Cuti Bersama Idul Fitri
2023-04-25,Cuti Bersama Idul Fitri
2023-05-01,Hari Buruh Internasional
2023-05-18,Kenaikan Isa Al Masih
2023-06-01,Hari Lahir Pancasila
2023-06-02,Cuti Bersama Waisak
2023-06-04,Hari Raya Waisak 2567
2023-06-29,Hari Raya Idul Adha 1444H
2023-07-19,Tahun Baru Islam 1445H
2023-08-17,Hari Kemerdekaan Republik Indonesia
2023-09-28,Maulid Nabi Muhammad SAW 1445H
2023-12-25,Hari Raya Natal
2023-12-26,Cuti Bersama Natal
2024-01-01,Tahun Baru Masehi
2024-02-08,Isra Mi'raj Nabi Muhammad SAW 1445H
2024-02-09,Cuti Bersama Isra Mi'raj
2024-02-10,Tahun Baru Imlek 2575
2024-02-14,Hari Pemilihan Umum
2024-03-11,Hari Raya Nyepi Tahun Baru Saka 1946
2024-03-12,Cuti Bersama Nyepi
2024-03-29,Wafat Isa Al Masih
2024-04-08,Cuti Bersama Idul Fitri
2024-04-09,Cuti Bersama Idul Fitri
2024-04-10,Hari Raya Idul Fitri 1445H Hari Ke-1
2024-04-11,Hari Raya Idul Fitri 1445H Hari Ke-2
2024-04-12,Cuti Bersama Idul Fitri
2024-04-15,Cuti Bersama Idul Fitri
2024-05-01,Hari Buruh Internasional
2024-05-09,Kenaikan Isa Al Masih
2024-05-10,Cuti Bersama Kenaikan Isa Al Masih
2024-05-23,Hari Raya Waisak 2568
2024-05-24,Cuti Bersama Waisak
2024-06-01,Hari Lahir Pancasila
2024-06-17,Hari Raya Idul Adha 1445H
2024-06-18,Cuti Bersama Idul Adha
2024-07-07,Tahun Baru Islam 1446H
2024-08-17,Hari Kemerdekaan Republik Indonesia
2024-09-16,Maulid Nabi Muhammad SAW 1446H
2024-12-25,Hari Raya Natal
2024-12-26,Cuti Bersama Natal
2025-01-01,Tahun Baru Masehi
2025-01-27,Isra Mi'raj Nabi Muhammad SAW 1446H
2025-01-28,Cuti Bersama Isra Mi'raj
2025-01-29,Tahun Baru Imlek 2576
2025-03-26,Cuti Bersama Idul Fitri
2025-03-27,Cuti Bersama Idul Fitri
2025-03-28,Hari Suci Nyepi Tahun Baru Saka 1947
2025-03-30,Hari Raya Idul Fitri 1446H Hari Ke-1
2025-03-31,Hari Raya Idul Fitri 1446H Hari Ke-2
2025-04-01,Cuti Bersama Idul Fitri
2025-04-02,Cuti Bersama Idul Fitri
2025-04-03,Cuti Bersama Idul Fitri
2025-04-04,Cuti Bersama Idul Fitri
2025-04-18,Wafat Isa Al Masih
2025-05-01,Hari Buruh Internasional
2025-05-12,Hari Raya Waisak 2569
2025-05-13,Cuti Bersama Waisak
2025-05-29,Kenaikan Isa Al Masih
2025-06-01,Hari Lahir Pancasila
2025-06-06,Hari Raya Idul Adha 1446H
2025-06-27,Tahun Baru Islam 1447H
2025-08-17,Hari Kemerdekaan Republik Indonesia
2025-09-04,Maulid Nabi Muhammad SAW 1447H
2025-09-05,Cuti Bersama Maulid Nabi
2025-12-25,Hari Raya Natal
2025-12-26,Cuti Bersama Natal
2026-01-01,Tahun Baru Masehi
2026-01-17,Isra Mi'raj Nabi Muhammad SAW 1447H
2026-02-17,Tahun Baru Imlek 2577
2026-03-17,Cuti Bersama Idul Fitri
2026-03-18,Cuti Bersama Idul Fitri
2026-03-19,Hari Raya Idul Fitri 1447H Hari Ke-1
2026-03-20,Hari Raya Idul Fitri 1447H Hari Ke-2
2026-03-23,Cuti Bersama Idul Fitri
2026-04-02,Hari Suci Nyepi Tahun Baru Saka 1948
2026-04-03,Wafat Isa Al Masih
2026-05-01,Hari Buruh Internasional
2026-05-14,Kenaikan Isa Al Masih
2026-05-25,Hari Raya Waisak 2570
2026-05-27,Hari Raya Idul Adha 1447H
2026-06-01,Hari Lahir Pancasila
2026-06-16,Tahun Baru Islam 1448H
2026-08-17,Hari Kemerdekaan Republik Indonesia
2026-08-25,Maulid Nabi Muhammad SAW 1448H
2026-12-25,Hari Raya Natal
